Date,Code,LongSellValue,ShortSellWithoutMarginValue,MarginSellNewValue,MarginSellCloseValue,LongBuyValue,MarginBuyNewValue,MarginBuyCloseValue,LongSellVolume,ShortSellWithoutMarginVolume,MarginSellNewVolume,MarginSellCloseVolume,LongBuyVolume,MarginBuyNewVolume,MarginBuyCloseVolume,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume,MorningOpen,MorningHigh,MorningLow,MorningClose,MorningUpperLimit,MorningLowerLimit,MorningVolume,MorningTurnoverValue,MorningAdjustmentOpen,MorningAdjustmentHigh,MorningAdjustmentLow,MorningAdjustmentClose,MorningAdjustmentVolume,AfternoonOpen,AfternoonHigh,AfternoonLow,AfternoonClose,AfternoonUpperLimit,AfternoonLowerLimit,AfternoonVolume,AfternoonTurnoverValue,AfternoonAdjustmentOpen,AfternoonAdjustmentHigh,AfternoonAdjustmentLow,AfternoonAdjustmentClose,AfternoonAdjustmentVolume,OpenCloseReturn,OpenCloseReturnRatio
2022-02-02,84110,7464009650.0,6001083500.0,773210400.0,1396951250.0,14190834750.0,1144282100.0,300137950.0,4708200.0,3785900.0,488500.0,882200.0,8952400.0,722800.0,189600.0,1577.0,1591.0,1574.5,1590.0,0,0,9864800.0,15635254800.0,1.0,1577.0,1591.0,1574.5,1590.0,9864800.0,1577.0,1586.0,1574.5,1585.5,0,0,4115900.0,6505869500.0,1577.0,1586.0,1574.5,1585.5,4115900.0,1582.5,1591.0,1582.5,1590.0,0,0,5748900.0,9129385300.0,1582.5,1591.0,1582.5,1590.0,5748900.0,13.0,0.8243500317057704
2022-02-03,84110,6027907450.0,7976716400.0,432092700.0,1222746500.0,13244821700.0,1714570450.0,700070900.0,3853600.0,5101900.0,276200.0,781500.0,8467900.0,1097300.0,448000.0,1560.0,1575.0,1550.5,1565.5,0,0,10013200.0,15659463050.0,1.0,1560.0,1575.0,1550.5,1565.5,10013200.0,1560.0,1575.0,1550.5,1563.5,0,0,6281300.0,9819670250.0,1560.0,1575.0,1550.5,1563.5,6281300.0,1564.0,1567.5,1562.0,1565.5,0,0,3731900.0,5839792800.0,1564.0,1567.5,1562.0,1565.5,3731900.0,5.5,0.3525641025641026
2022-02-04,84110,4844458950.0,5402763950.0,441830450.0,1040426550.0,10740916650.0,721655500.0,266907750.0,3068500.0,3423600.0,279600.0,659100.0,6804500.0,457200.0,169100.0,1581.5,1584.0,1571.0,1577.0,0,0,7430800.0,11729479900.0,1.0,1581.5,1584.0,1571.0,1577.0,7430800.0,1581.5,1584.0,1571.0,1582.0,0,0,3519100.0,5553939000.0,1581.5,1584.0,1571.0,1582.0,3519100.0,1580.0,1583.5,1576.5,1577.0,0,0,3911700.0,6175540900.0,1580.0,1583.5,1576.5,1577.0,3911700.0,-4.5,-0.284539993676889
2022-02-07,84110,11335486850.0,5499357100.0,681878150.0,2321343950.0,17989993800.0,1681805950.0,166266300.0,7066300.0,3432700.0,425300.0,1449700.0,11220700.0,1049800.0,103500.0,1584.0,1618.5,1579.0,1618.5,0,0,12374000.0,19838066050.0,1.0,1584.0,1618.5,1579.0,1618.5,12374000.0,1584.0,1604.5,1579.0,1603.5,0,0,6303600.0,10039611450.0,1584.0,1604.5,1579.0,1603.5,6303600.0,1604.0,1618.5,1603.5,1618.5,0,0,6070400.0,9798454600.0,1604.0,1618.5,1603.5,1618.5,6070400.0,34.5,2.178030303030303
2022-02-08,84110,8731228700.0,6322633450.0,515842200.0,2023421300.0,15707680750.0,1582585050.0,302859850.0,5355400.0,3875200.0,316700.0,1240900.0,9630200.0,972400.0,185600.0,1618.5,1639.5,1617.5,1639.0,0,0,10788200.0,17593125650.0,1.0,1618.5,1639.5,1617.5,1639.0,10788200.0,1618.5,1633.0,1617.5,1632.0,0,0,5430500.0,8821416700.0,1618.5,1633.0,1617.5,1632.0,5430500.0,1632.0,1639.5,1632.0,1639.0,0,0,5357700.0,8771708950.0,1632.0,1639.5,1632.0,1639.0,5357700.0,20.5,1.2666048810627124
2022-02-09,84110,10791212250.0,7683084650.0,778240050.0,1922394000.0,18046946250.0,2572512800.0,555471900.0,6558600.0,4670300.0,472600.0,1168300.0,10968400.0,1563300.0,338100.0,1650.0,1661.5,1628.5,1636.5,0,0,12869800.0,21174930950.0,1.0,1650.0,1661.5,1628.5,1636.5,12869800.0,1650.0,1661.5,1643.0,1650.0,0,0,6444500.0,10650963600.0,1650.0,1661.5,1643.0,1650.0,6444500.0,1649.0,1649.0,1628.5,1636.5,0,0,6425300.0,10523967350.0,1649.0,1649.0,1628.5,1636.5,6425300.0,-13.5,-0.8181818181818182
2022-02-10,84110,7375835100.0,5237982550.0,636799500.0,1279974450.0,13135842450.0,958767400.0,435981750.0,4495200.0,3192000.0,388800.0,780600.0,8005300.0,585600.0,265700.0,1639.0,1648.5,1626.0,1648.5,0,0,8856600.0,14530591600.0,1.0,1639.0,1648.5,1626.0,1648.5,8856600.0,1639.0,1644.0,1626.0,1639.0,0,0,4135000.0,6764182750.0,1639.0,1644.0,1626.0,1639.0,4135000.0,1639.5,1648.5,1637.5,1648.5,0,0,4721600.0,7766408850.0,1639.5,1648.5,1637.5,1648.5,4721600.0,9.5,0.5796217205613179
2022-02-14,84110,5940157050.0,7121721250.0,478810850.0,1459767150.0,13114845350.0,1476242600.0,409368350.0,3629600.0,4352900.0,292400.0,891800.0,8014000.0,902800.0,249900.0,1642.5,1647.0,1628.5,1636.0,0,0,9166700.0,15000456300.0,1.0,1642.5,1647.0,1628.5,1636.0,9166700.0,1642.5,1647.0,1630.5,1633.0,0,0,5011200.0,8207917100.0,1642.5,1647.0,1630.5,1633.0,5011200.0,1633.0,1638.5,1628.5,1636.0,0,0,4155500.0,6792539200.0,1633.0,1638.5,1628.5,1636.0,4155500.0,-6.5,-0.3957382039573821
2022-02-15,84110,5400047400.0,8404192950.0,603431850.0,1105351750.0,12865924850.0,2102038400.0,545060700.0,3344700.0,5196400.0,372600.0,681300.0,7961700.0,1296600.0,336700.0,1628.5,1637.0,1601.0,1605.0,0,0,9595000.0,15513023950.0,1.0,1628.5,1637.0,1601.0,1605.0,9595000.0,1628.5,1637.0,1617.0,1620.0,0,0,3778400.0,6148391700.0,1628.5,1637.0,1617.0,1620.0,3778400.0,1619.0,1622.5,1601.0,1605.0,0,0,5816600.0,9364632250.0,1619.0,1622.5,1601.0,1605.0,5816600.0,-23.5,-1.4430457476205096
2022-02-16,84110,5639239500.0,5645888650.0,600366200.0,1492277250.0,10944616050.0,1784692750.0,648462800.0,3479300.0,3484700.0,370200.0,920300.0,6753500.0,1101000.0,400000.0,1628.5,1630.5,1613.0,1619.0,0,0,8254500.0,13377771600.0,1.0,1628.5,1630.5,1613.0,1619.0,8254500.0,1628.5,1630.5,1613.0,1623.0,0,0,3667200.0,5945935400.0,1628.5,1630.5,1613.0,1623.0,3667200.0,1623.0,1624.5,1618.0,1619.0,0,0,4587300.0,7431836200.0,1623.0,1624.5,1618.0,1619.0,4587300.0,-9.5,-0.5833589192508444
